TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
ar.edu.unrc.game2048.Cell,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9482638888888889,187,178
ar.edu.unrc.game2048.Cell,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9482638888888889,187,178
ar.edu.unrc.game2048.Board,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9257811723795331,1392,1288
ar.edu.unrc.game2048.DeterministicPlacement,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9955357142857143,85,84
ar.edu.unrc.game2048.NonDeterministicPlacement,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9940476190476191,74,73
ar.edu.unrc.game2048.Position,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.95,107,105
ar.edu.unrc.game2048.Cell,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.920764896867838,252,229
ar.edu.unrc.game2048.Board,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9155809543645437,1406,1287
ar.edu.unrc.game2048.DeterministicPlacement,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9955357142857143,85,84
ar.edu.unrc.game2048.NonDeterministicPlacement,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9940476190476191,74,73
ar.edu.unrc.game2048.Position,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.95,107,105
